"municipality","votes","parties","file","district"
"鳥取市",3930,"日本共産党","中国選挙区.xlsx","鳥取県"
"鳥取市",5416.539,"国民民主党","中国選挙区.xlsx","鳥取県"
"鳥取市",9279.46,"立憲民主党","中国選挙区.xlsx","鳥取県"
"鳥取市",928,"社会民主党","中国選挙区.xlsx","鳥取県"
"鳥取市",1978,"参政党","中国選挙区.xlsx","鳥取県"
"鳥取市",3031,"日本維新の会","中国選挙区.xlsx","鳥取県"
"鳥取市",3958,"れいわ新選組","中国選挙区.xlsx","鳥取県"
"鳥取市",10221,"公明党","中国選挙区.xlsx","鳥取県"
"鳥取市",41161,"自由民主党","中国選挙区.xlsx","鳥取県"
"鳥取市",79902.99899999998,"得票数計","中国選挙区.xlsx","鳥取県"
"米子市",2785,"日本共産党","中国選挙区.xlsx","鳥取県"
"米子市",5180.122,"国民民主党","中国選挙区.xlsx","鳥取県"
"米子市",14031.877,"立憲民主党","中国選挙区.xlsx","鳥取県"
"米子市",789,"社会民主党","中国選挙区.xlsx","鳥取県"
"米子市",1761,"参政党","中国選挙区.xlsx","鳥取県"
"米子市",2081,"日本維新の会","中国選挙区.xlsx","鳥取県"
"米子市",3644,"れいわ新選組","中国選挙区.xlsx","鳥取県"
"米子市",8345,"公明党","中国選挙区.xlsx","鳥取県"
"米子市",26383,"自由民主党","中国選挙区.xlsx","鳥取県"
"米子市",64999.999,"得票数計","中国選挙区.xlsx","鳥取県"
"倉吉市",690,"日本共産党","中国選挙区.xlsx","鳥取県"
"倉吉市",1385.38,"国民民主党","中国選挙区.xlsx","鳥取県"
"倉吉市",2789.619,"立憲民主党","中国選挙区.xlsx","鳥取県"
"倉吉市",303,"社会民主党","中国選挙区.xlsx","鳥取県"
"倉吉市",520,"参政党","中国選挙区.xlsx","鳥取県"
"倉吉市",531,"日本維新の会","中国選挙区.xlsx","鳥取県"
"倉吉市",1147,"れいわ新選組","中国選挙区.xlsx","鳥取県"
"倉吉市",2886,"公明党","中国選挙区.xlsx","鳥取県"
"倉吉市",11057,"自由民主党","中国選挙区.xlsx","鳥取県"
"倉吉市",21308.999,"得票数計","中国選挙区.xlsx","鳥取県"
"境港市",681,"日本共産党","中国選挙区.xlsx","鳥取県"
"境港市",988.031,"国民民主党","中国選挙区.xlsx","鳥取県"
"境港市",2581.968,"立憲民主党","中国選挙区.xlsx","鳥取県"
"境港市",212,"社会民主党","中国選挙区.xlsx","鳥取県"
"境港市",413,"参政党","中国選挙区.xlsx","鳥取県"
"境港市",462,"日本維新の会","中国選挙区.xlsx","鳥取県"
"境港市",795,"れいわ新選組","中国選挙区.xlsx","鳥取県"
"境港市",1888,"公明党","中国選挙区.xlsx","鳥取県"
"境港市",7113,"自由民主党","中国選挙区.xlsx","鳥取県"
"境港市",15133.999,"得票数計","中国選挙区.xlsx","鳥取県"
"岩美町",286,"日本共産党","中国選挙区.xlsx","鳥取県"
"岩美町",276.538,"国民民主党","中国選挙区.xlsx","鳥取県"
"岩美町",605.461,"立憲民主党","中国選挙区.xlsx","鳥取県"
"岩美町",50,"社会民主党","中国選挙区.xlsx","鳥取県"
"岩美町",107,"参政党","中国選挙区.xlsx","鳥取県"
"岩美町",153,"日本維新の会","中国選挙区.xlsx","鳥取県"
"岩美町",237,"れいわ新選組","中国選挙区.xlsx","鳥取県"
"岩美町",662,"公明党","中国選挙区.xlsx","鳥取県"
"岩美町",3134,"自由民主党","中国選挙区.xlsx","鳥取県"
"岩美町",5510.999,"得票数計","中国選挙区.xlsx","鳥取県"
"若桜町",83,"日本共産党","中国選挙区.xlsx","鳥取県"
"若桜町",57.117,"国民民主党","中国選挙区.xlsx","鳥取県"
"若桜町",155.882,"立憲民主党","中国選挙区.xlsx","鳥取県"
"若桜町",23,"社会民主党","中国選挙区.xlsx","鳥取県"
"若桜町",26,"参政党","中国選挙区.xlsx","鳥取県"
"若桜町",34,"日本維新の会","中国選挙区.xlsx","鳥取県"
"若桜町",48,"れいわ新選組","中国選挙区.xlsx","鳥取県"
"若桜町",345,"公明党","中国選挙区.xlsx","鳥取県"
"若桜町",928,"自由民主党","中国選挙区.xlsx","鳥取県"
"若桜町",1699.999,"得票数計","中国選挙区.xlsx","鳥取県"
"智頭町",119,"日本共産党","中国選挙区.xlsx","鳥取県"
"智頭町",120.986,"国民民主党","中国選挙区.xlsx","鳥取県"
"智頭町",338.013,"立憲民主党","中国選挙区.xlsx","鳥取県"
"智頭町",56,"社会民主党","中国選挙区.xlsx","鳥取県"
"智頭町",68,"参政党","中国選挙区.xlsx","鳥取県"
"智頭町",79,"日本維新の会","中国選挙区.xlsx","鳥取県"
